epoch,train_loss,valid_loss,accuracy,f1_score,testAccuracy,testF1Score,time
0,0.35868385434150696,0.47037196159362793,0.8803921341896057,0.8778943645887973,0.8616034984588623,0.8526523429442292,00:48
1,0.3353841304779053,0.46611645817756653,0.8774510025978088,0.8750292497951712,0.8596519827842712,0.8471224955973765,00:49
2,0.3554227650165558,0.5659528374671936,0.8617647290229797,0.8587920177388169,0.8282647728919983,0.8174039062276955,00:49
3,0.43321481347084045,0.6146928071975708,0.8372548818588257,0.8360822756539957,0.8144413828849792,0.8056393771132431,00:49
4,0.4288475215435028,0.5540122389793396,0.8558823466300964,0.8490549406687474,0.8232232928276062,0.8073002494107785,00:49
5,0.3351697623729706,0.4641228914260864,0.8774510025978088,0.8755184215771501,0.856399416923523,0.8432783380856238,00:49
6,0.26608404517173767,0.41397976875305176,0.8901960849761963,0.8893972940374958,0.8742884993553162,0.8684168456117477,00:49
7,0.2245263308286667,0.3716879189014435,0.9039215445518494,0.9048262260213832,0.8746137619018555,0.8697594198707257,00:49
8,0.1421872228384018,0.3540436923503876,0.908823549747467,0.9081413820073129,0.8744511008262634,0.8707045899121134,00:49
9,0.1127425879240036,0.3424241542816162,0.908823549747467,0.9081858877234843,0.8871361017227173,0.8800449767108015,00:49
10,0.09278220683336258,0.31006309390068054,0.9245098233222961,0.9238519477754431,0.8985201120376587,0.8912499376130105,00:49
11,0.07393021881580353,0.2909619212150574,0.9156862497329712,0.9146496789501549,0.9029110670089722,0.8982617954905852,00:49
12,0.05784472078084946,0.28355222940444946,0.9225490093231201,0.9220215583327553,0.8996585011482239,0.8971587827816494,00:48
13,0.044424574822187424,0.2863464653491974,0.9215686321258545,0.9211046594733734,0.9003089666366577,0.8967153224844219,00:49
14,0.046247951686382294,0.28547266125679016,0.9264705777168274,0.9258147714271568,0.8994958400726318,0.897888819882848,00:49
