epoch,train_loss,valid_loss,accuracy,f1_score,testAccuracy,testF1Score,time
0,0.3920399844646454,0.8272095918655396,0.8784313797950745,0.8763435672676487,0.8682712912559509,0.8602944979172661,00:48
1,0.39574509859085083,0.8072901368141174,0.8784313797950745,0.876817400904207,0.8738006353378296,0.8647295239351296,00:49
2,0.3617585003376007,0.7871301770210266,0.886274516582489,0.8841442616813185,0.8781915903091431,0.8696074784978193,00:48
3,0.3222564458847046,0.7460578083992004,0.8921568393707275,0.8911618492703748,0.8803057670593262,0.873743617748752,00:48
4,0.28115949034690857,0.726136326789856,0.8911764621734619,0.8895928857097727,0.8861603736877441,0.8779803941438161,00:48
5,0.2558912932872772,0.6986572742462158,0.8931372761726379,0.8915677292509343,0.884046196937561,0.87480622899548,00:48
6,0.22426347434520721,0.6617744565010071,0.9019607901573181,0.9004788326025054,0.8827451467514038,0.8752019368718215,00:48
7,0.22514954209327698,0.6523322463035583,0.9078431129455566,0.9064436562949941,0.8892502784729004,0.8787265051006885,00:48
8,0.18279695510864258,0.6411092877388,0.906862735748291,0.9057565788457447,0.8923402428627014,0.8830500537146242,00:48
9,0.13465699553489685,0.6415412425994873,0.9117646813392639,0.9103828748670505,0.8949422836303711,0.8850051601925104,00:48
10,0.12295712530612946,0.6321401596069336,0.9107843041419983,0.9088064465908051,0.8959180116653442,0.8868213041769801,00:48
11,0.11597861349582672,0.6426810622215271,0.9039215445518494,0.9024634802643086,0.8921775817871094,0.8825115842578528,00:48
12,0.10090849548578262,0.6258172988891602,0.9127451181411743,0.9112617185952606,0.8938038945198059,0.8839403603344869,00:48
13,0.10028454661369324,0.6235100626945496,0.908823549747467,0.9073153896604129,0.8944543600082397,0.8866611992777186,00:48
14,0.11750511080026627,0.6074169874191284,0.9098039269447327,0.9094005004471143,0.8980321884155273,0.8875938069987894,00:48
